Merge ID	TableS3_K12_ProteomeV13	Gevaert2002	Taoka2004	Arifuzzaman2006	Ji2006	Iwasaki2009	Masuda2009	Iwasaki2010	Thein2010	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	Manddalo2011	TechnicalR_all_v7	# Studies	TableS3_K12_ProteomeV13 Duplicates	Gevaert2002 Duplicates	Taoka2004 Duplicates	Arifuzzaman2006 Duplicates	Ji2006 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Iwasaki2010 Duplicates	Thein2010 Duplicates	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	Manddalo2011 Duplicates	TechnicalR_all_v7 Duplicates	Subcellular Location(this study)	
P16095	1	1	1	1		1	1	1	1										1								9	1	1	1	1		1	1	1	1										1								B		
P16430	1																										1	1																										B		
P16431	1	1		1		1	1			1																	6	1	1		1		1	1			1																	B		
P17334	1																										1	1																										B		
P18200	1																										1	1																										B		
P18392	1			1	1	1	1	1																			6	1			1	1	1	1	1																			B		
P21345	1						1																				2	1						1																				B		
P21503	1																										1	1																										B		
P21893	1			1	1		1	1																			5	1			1	1		1	1																			B		
P22525	1			1		1	1	1																			5	1			1		1	1	1																			B		
P23256	1	1						1																			3	1	1						1																			B		
P23524	1			1				1																			3	1			1				1																			B		
P23837	1			1	1	1	1	1																			6	1			1	1	1	1	1																			B		
P23886	1		1	1	1	1	1	1	1																1		9	1		1	1	1	1	1	1	1																1		B		
P23894	1		1		1	1	1	1	1																		7	1		1		1	1	1	1	1																		B		
P23909	1	1	1	1		1	1	1	1																		8	1	1	1	1		1	1	1	1																		B		
P23917	1		1			1	1	1																			5	1		1			1	1	1																			B		
P23930	1		1		1	1	1	1	1																		7	1		1		1	1	1	1	1																		B		
P24177	1					1	1	1	1																		5	1					1	1	1	1																		B		
P24205	1		1	1	1	1	1	1																			7	1		1	2	1	1	1	1																			B		
P25527	1							1																			2	1							1																			B		
P25535	1		1	1		1	1	1		1																	7	1		1	1		1	1	1		1																	B		
P25714	1	1	1		1	1	1	1	1		1	1		1		1			1						1		14	1	1	1		1	1	1	1	1		1	1		1		1			1						2		B		
P25737	1					1	1	1																			4	1					1	1	1																			B		
P25743	1	1	1			1																					4	1	1	1			1																					B		
P26458	1			1		1																					3	1			2		1																					B		
P26459	1	1			1	1	1	1						1													7	1	1			1	1	1	1						1													B		
P27844	1																										1	1																										B		
P27896	1					1	1	1																			4	1					1	1	1																			B		
P28249	1	1	1	1	1	1	1	1	1																		9	1	1	1	1	1	1	1	1	1																		B		
P28306	1			1	1	1	1	1	1																		7	1			1	1	1	1	1	1																		B		
P29018	1		1	1	1	1	1	1	1		1														1		10	1		1	1	1	1	1	1	1		1														1		B		
P29217	1	1	1			1	1	1																			6	1	1	1			1	1	1																			B		
P30136	1			1		1																					3	1			1		1																					B		
P30138	1			1				1																			3	1			1				1																			B		
P30143	1					1																					2	1					1																					B		
P30844	1					1	1	1	1																		5	1					1	1	1	1																		B		
P30845	1				1				1			1							1						1		6	1				1				1			1							1						1		B		
P30847	1			1	1	1	1	1					1														7	1			1	1	1	1	1					1														B		
P30864	1			1	1			1																			4	1			1	1			1																			B		
P31069	1					1	1	1																			4	1					1	1	1																			B		
P31119	1	1		1	1	1	1	1	1																		8	1	1		1	1	1	1	1	1																		B		
P31125	1																										1	1																										B		
P31433	1		1		1	1	1	1	1																		7	1		1		1	1	1	1	1																		B		
P31435	1																										1	1																										B		
P31440	1																										1	1																										B		
P31462	1							1																			2	1							1																			B		
P31466	1					1		1																			3	1					1		1																			B		
P31474	1																										1	1																										B		
P31553	1																										1	1																										B		
P31679	1																										1	1																										B		
P32108	1																										1	1																										B		
P32125	1			1				1																			3	1			1				1																			B		
P32129	1																										1	1																										B		
P32166	1				1	1		1																			4	1				1	1		1																			B		
P32700	1																										1	1																										B		
P32715	1			1																							2	1			1																							B		
P33024	1		1																								2	1		1																								B		
P33226	1				1																						2	1				1																						B		
P33232	1	1	1	1		1	1	1	1	1	1												1				11	1	1	1	1		1	1	1	1	1	1												1				B		
P33358	1					1	1	1																			4	1					1	1	1																			B		
P33591	1																										1	1																										B		
P33607	1		1			1	1	1								1			1								7	1		1			1	1	1								1			1								B		
P33650	1				1	1	1	1																			5	1				1	1	1	1																			B		
P33915	1					1	1	1																			4	1					1	1	1																			B		
P33927	1					1	1	1																			4	1					1	1	1																			B		
P33934	1					1		1																			3	1					1		1																			B		
P33940	1	1		1			1										1							1		1	7	1	1		1			1										1							1		1	B		
P36647	1																										1	1																										B		
P36672	1		1			1	1	1	1		1								1								8	1		1			1	1	1	1		1								1								B		
P36837	1																										1	1																										B		
P36929	1		1	1		1	1	1	1																		7	1		1	1		1	1	1	1																		B		
P37146	1		1	1				1																			4	1		1	1				1																			B		
P37180	1			1																							2	1			1																							B		
P37339	1			1		1	1	1																			5	1			1		1	1	1																			B		
P37340	1					1	1	1																			4	1					1	1	1																			B		
P37619	1																										1	1																										B		
P37624	1				1	1	1	1																			5	1				1	1	1	1																			B		
P37631	1		1					1																			3	1		1					1																			B		
P37637	1	1	1		1	1	1	1	1			1		1		1			1								12	1	1	1		1	1	1	1	1			1		1		1			1								B		
P37641	1																										1	1																										B		
P37642	1					1	1	1																			4	1					1	1	1																			B		
P37649	1			1	1	1	1	1																			6	1			1	1	1	1	1																			B		
P37652	1	1		1	1	1	1	1	1																1		9	1	1		1	1	1	1	1	1																1		B		
P37660	1																										1	1																										B		
P37661	1		1	1	1			1																			5	1		1	1	1			1																			B		
P37758	1					1		1																			3	1					1		1																			B		
P37767	1	1						1																			3	1	1						1																			B		
P37908	1			1	1	1	1	1	1																		7	1			1	1	1	1	1	1																		B		
P38054	1		1	1	1			1	1																		6	1		1	1	1			1	1																		B		
P38055	1																										1	1																										B		
P38506	1							1																			2	1							1																			B		
P39276	1																										1	1																										B		
P39285	1		1		1	1	1	1	1							1											8	1		1		1	1	1	1	1							1											B		
P39301	1																										1	1																										B		
P39314	1																										1	1																										B		
P39321	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			B		
P39342	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			B		
P39453	1					1		1																			3	1					1		1																			B		
P39836	1					1		1																			3	1					1		1																			B		
P40719	1			1		1	1																				4	1			1		1	1																				B		
P40874	1		1	1	1		1	1																			6	1		1	1	1		1	1																			B		
P42590	1							1																			2	1							1																			B		
