Merge ID	TableS3_K12_ProteomeV13	Gevaert2002	Taoka2004	Arifuzzaman2006	Ji2006	Iwasaki2009	Masuda2009	Iwasaki2010	Thein2010	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	Manddalo2011	TechnicalR_all_v7	# Studies	TableS3_K12_ProteomeV13 Duplicates	Gevaert2002 Duplicates	Taoka2004 Duplicates	Arifuzzaman2006 Duplicates	Ji2006 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Iwasaki2010 Duplicates	Thein2010 Duplicates	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	Manddalo2011 Duplicates	TechnicalR_all_v7 Duplicates	Subcellular Location(this study)	
Q47154	1			1																							2	1			1																							A		
P31061	1			1																							2	1			1																							A		
P33227	1																										1	1																										A		
P77699	1			1																							2	1			1																							A		
Q47719	1					1																					2	1					1																					A		
P75717	1			1																							2	1			1																							A		
P76165	1			1																							2	1			1																							A		
P77601	1			1																							2	1			1																							A		
P77688	1																										1	1																										A		
Q2EER5	1																										1	1																										A		
P76138	1																										1	1																										A		
P39901	1																										1	1																										A		
P75718	1																										1	1																										A		
Q7DFV4	1			1																							2	1			1																							A		
P75980	1																										1	1																										A		
P75981	1																										1	1																										A		
P76000	1																										1	1																										A		
P76069	1																										1	1																										A		
P76137	1																										1	1																										A		
P76164	1																										1	1																										A		
P76321	1																										1	1																										A		
P76349	1							1																			2	1							1																			A		
P76359	1																										1	1																										A		
P76508	1			1																							2	1			1																							A		
P76509	1																										1	1																										A		
P76611	1																										1	1																										A		
P76616	1			1																							2	1			1																							A		
P77087	1																										1	1																										A		
P77169	1			1																							2	1			1																							A		
P77326	1																										1	1																										A		
P77460	1																										1	1																										A		
P77528	1																										1	1																										A		
Q2EEP9	1			1																							2	1			1																							A		
Q2EES3	1																										1	1																										A		
Q2EET0	1																										1	1																										A		
Q46793	1																										1	1																										A		
Q46795	1																										1	1																										A		
P42906	1	1		1																							3	1	1		1																							A		
P33345	1							1																			2	1							1																			A		
P28369	1	1		1																							3	1	1		1																							A		
P0CG19	1		1				1																				3	1		1				1																				A		
P39874	1			1																							2	1			1																							A		
P37003	1																										1	1																										A		
P64526	1																										1	1																										A		
P33353	1			1																							2	1			1																							A		
P45505	1																										1	1																										A		
Q46840	1																										1	1																										A		
P37635	1																										1	1																										A		
P37655	1			1																							2	1			1																							A		
A5A625	1																										1	1																										A		
P32690	1			1																							2	1			1																							A		
P39354	1																										1	1																										A		
