B	WRBA_ECOLI	1.19E+01	1.22E+03	5.31	238.33	0.11119	11119
A	YIHI_ECOLI	1.78E+00	4.05E+02	2.16	99.64	0.053006	5300.6
A	RRAA_ECOLI	5.31E+00	7.63E+02	18.31	791.36	0.00084552	84.552
A	PRMA_ECOLI	6.68E-01	2.29E+02	1	33.42	0.0047227	472.27
A	CSPD_ECOLI	3.06E+01	2.11E+03	20.54	884.64	0.071155	7115.5
A	CSPE_ECOLI	3.15E+02	8.19E+03	62	2585.84	4.3348	433480
A	ALF1_ECOLI	5.85E-01	2.12E+02	1.64	76.29	0.0018901	189.01
A	FKBB_ECOLI	2.68E+01	1.96E+03	14.85	645.93	0.057824	5782.4
B	PTA_ECOLI	3.76E+01	2.38E+03	11.92	225.17	0.026304	2630.4
A	CSPA_ECOLI	3.15E+02	8.19E+03	9	398	1.0215	102150
A	CSPC_ECOLI	1.77E+02	5.85E+03	99	4064.14	11.2809	1128090
