Entry name (Uniprot)	Merge ID	Masuda2009_fin	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Normalized And Descr Itensity	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
POTH_ECOLI	P31135	0	1	1	1	1	0	0	4	B		2	0	0	0		
SETC_ECOLI	P31436	0	1	1	1	0	0	0	3	B		0	0	0			
YICL_ECOLI	P31437	0	1	1	1	0	0	1	4	B		1	0	0			B
ADEC_ECOLI	P31441	1	1	1	1	0	0	0	4	B		2	0	0			
YIDI_ECOLI	P31446	0	1	1	1	0	0	0	3	B		0	0				
YIDK_ECOLI	P31448	0	1	1	1	0	0	0	3	B		0	0	0			
CBRB_ECOLI	P31468	0	1	1	1	0	0	0	3	B		2	0				
YIEL_ECOLI	P31471	0	1	1	1	0	0	0	3	G		0	0	0			
THIQ_ECOLI	P31548	1	1	1	1	0	0	1	5	F1		2	0				F1
SETA_ECOLI	P31675	0	1	1	1	0	0	0	3	B		2	0				
YDDA_ECOLI	P31826	0	0	1	1	0	0	0	2	B			0	0			
YDDB_ECOLI	P31827	1	1	1	1	0	0	1	5	G		0	0				G
PQQL_ECOLI	P31828	1	1	1	1	0	1	1	6	G		0	0	0			G
YIBG_ECOLI	P32106	0	1	1	1	1	0	0	4	G		0	0	0	0		
YIHN_ECOLI	P32135	0	1	1	1	0	0	1	4	B		0	0	0			B
YIHO_ECOLI	P32136	0	1	1	1	0	0	0	3	B		0	0				
YIHP_ECOLI	P32137	0	1	1	1	0	0	0	3	B		0	0	0			
YIIG_ECOLI	P32151	0	1	1	1	0	0	0	3	E		0	0	0			
PTFA_ECOLI	P32155	0	1	1	1	1	0	0	4	F1		0	0	0	0		
YIIX_ECOLI	P32167	0	1	1	1	0	0	0	3	G		0	0	0			
YIJF_ECOLI	P32668	0	1	1	1	0	0	0	3	G		0	0	0			
PTFC2_ECOLI	P32672	0	1	1	1	0	0	0	3	B		0	0	0			
YJBG_ECOLI	P32688	0	1	1	1	0	0	0	3	G		0	0	0			
YJCC_ECOLI	P32701	0	1	1	1	0	0	0	3	B		0	0	0			
NRFE_ECOLI	P32710	0	1	1	1	0	0	0	3	B		0	0	0			
NRFF_ECOLI	P32711	0	1	1	1	1	0	0	4	B		0	0	0	0		
MDTN_ECOLI	P32716	0	1	1	1	0	0	0	3	B		0	0	0			
ALSC_ECOLI	P32720	0	1	1	1	0	0	0	3	B		1	0	0			
NUPX_ECOLI	P33021	0	1	1	1	0	0	0	3	B		0	0	0			
