Merge ID	Cellular Component	Biological Process
P11557	(plasma+membrane)	(cell+cycle)
P33018	(cytoplasmic+membrane-bounded+vesicle)	
P32675	(cytoplasm)	(carbohydrate+metabolic+process)
P0AFF6	(cytoplasm)	(response+to+stress)
P32674	(cytoplasm)	
P31142	(cytoplasm)	
P28861	(cytoplasm)	(transport)
P05042	(cytoplasm)	
P68699	(plasma+membrane)	
P39406	(cytoplasm)	
P03004	(cytoplasm)	
P31554	(plasma+membrane)	
P03007	(intracellular)	
P30863	(cytoplasm)	
P39405	(cytoplasm::plasma+membrane)	
P33021	(plasma+membrane)	(transport)
P76299	(plasma+membrane)	(transport)
Q46839	(plasma+membrane)	(transport)
P0A9S5	(cytoplasm)	
P62707	(cytoplasm)	
P0AAR3	(cytoplasm)	
P02921	(plasma+membrane)	(transport)
P29131	(plasma+membrane)	
P0AFC7	(plasma+membrane)	
P33934	(plasma+membrane)	(transport)
P39401	(plasma+membrane)	
P06612	(chromosome)	
P22106	(cytoplasm)	
P06611	(plasma+membrane)	
Q46841	(plasma+membrane)	
P77339	(plasma+membrane)	
P77338	(plasma+membrane)	(transmembrane+transport::transport)
P0CE47__2	(cytoplasm::plasma+membrane)	(translation)
P0CE47__1	(cytoplasm::plasma+membrane)	(translation)
P0ACZ8	(cytoplasm)	
P76091	(plasma+membrane)	
P76093	(plasma+membrane)	
P0AFD1	(plasma+membrane)	
P0C018	(ribosome)	(translation)
P0AAQ2	(intracellular)	
P0AFD6	(plasma+membrane)	
P0ACZ4	(cytoplasm::intracellular)	
P41409	(cytoplasm)	
P33927	(plasma+membrane)	
P02919	(plasma+membrane)	
P76491	(cytoplasm)	
Q46851	(cytoplasm)	(transmembrane+transport)
P31572	(cytoplasm)	
Q46856	(cytoplasm)	
P61320	(plasma+membrane)	(transport)
